				RAP_TRN	PPM_TST	BNN_TRN	PPM_TRN	BNN_TST	RAP_TST
Minimum			31.99	-7.610	-2.921	0.5925	1.300	33.80
25% Percentile	46.87	1.610	1.330	4.585	1.300	46.72
Median			51.08	4.076	3.614	7.201	1.300	51.28
75% Percentile	56.25	8.761	6.308	10.30	1.300	60.17
Maximum			68.73	13.47	12.89	15.11	1.300	68.62
						
Mean			50.62	4.596	4.539	7.228	1.300	51.88
Std. Deviation	8.706	5.895	4.171	3.700	0.0	9.707
Std. Error of	1.947	1.318	0.9328	0.8274	0.0	2.171
						
Lower 95% CI of mean	46.55	1.837	2.587	5.496	1.300	47.34
Upper 95% CI of mean	54.70	7.355	6.491	8.960	1.300	56.42
						
Sum	1012	91.92	90.78	144.6	26.00	1038
